News,Target
"
North Carolina Gov. Roy Cooper ""has not left the Governor's Mansion since the start of the #COVID19 crisis.""
",0
"
The Christmas Day explosion in Nashville, Tenn., was the result of a “missile strike.”
",0
"
News outlets reported that the Nashville bomber died of COVID-19.
",0
"
The Nashville bombing was an attempt to stop an AT&T audit into Dominion software and cover up election corruption.
",0
"
Cornell University professor Robert Oswald said “COVID-19 was imaginary and fictitious.”
",0
"
Says a recent study found no asymptomatic or presymptomatic spread of COVID.
",0
"
Says “Dr. Fauci lied about masks in March.”
",0
"
“HIDDEN in the 5,893 page bill that @realDonaldTrump is anticipated to VETO is a provision that says: ""Nullifies the President's use of the Insurrection Act.""
",0
"
""‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.”
",0
"
Says COVID-19 relief bill “provides more funding to foreign governments and to American arts centers, than to the American people.”
",0
"
“CDC COVID-19 survival rates” are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.
",0
"
Says that the oil and gas industry comprises 35% of the Texas economy.
",0
"
“Dead people also voted.”
",0
"
“Nurse passes out on live TV after taking vaccine.”
",0
"
Chief Justice John Roberts visited Jeffrey Epstein's private island.
",0
"
“This is a phony pandemic.”
",0
"
“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”
",1
"
""New data shows in-person learning isn't driving spikes in cases.""
",1
"
Says the new coronavirus vaccines contain toxic ingredients and are more dangerous than getting COVID-19.
",0
"
“21% of people are having serious adverse events from (the Moderna) vaccine.”
",0
"
Says that guidance urging vaccinated people to avoid travel and continue wearing masks is ""profoundly anti-science.""
",0
"
A 2018 executive order gives Trump the ability to impose martial law
",0
"
President Donald Trump will hold his inauguration for a second term at Mar-a-Lago
",0
"
Say North Carolina Gov. Roy Cooper was arrested for driving while intoxicated in Stanly County.
",0
"
Says Raphael Warnock has ""said we need to open up the prisons"" and ""eliminate cash bail.""
",0
"
A Georgia Bureau of Investigation agent was killed for investigating the election.
",0
"
“Schools that are consistently implementing COVID-19 mitigation strategies remain among the safest places for our students.”
",0
"
“Millions of Hubbell and Bloomberg dollars wasn’t enough to overcome the Iowa House Republican avalanche of success.""
",0
"
“This whole COVID thing? It’s a SIMULATION.”
",0
"
“Tens and tens of thousands of bridges are in disrepair, some on the verge of collapse.”
",0
"
“One of the first nurses to receive the vaccine in AL is now dead.”
",0
"
An Austrian politician “exposed the defectiveness of the government’s Covid-19 tests by demonstrating how even a glass of Coca Cola will test positive for Covid-19.”
",0
"
“6 states will cast their (electoral) votes for Trump AND for Biden,” which will lead to a second Trump term.
",0
"
The American Medical Association rescinded a previous statement and now says ""hydroxychloroquine is okay"" for COVID-19.
",0
"
“Government imposed lockdowns do NOT reduce [COVID-19] cases or stop spikes.”
",0
"
“NASA confirms earth will go dark for 6 days in December 2020.”
",0
"
Says Kelly Loeffler supports ""raising taxes on Georgia's middle class.""
",0
"
“68% error rate in Michigan Voting Machines. Should be, by law, a tiny percentage of one percent.”
",0
"
The percentage of Americans with natural immunity from getting COVID-19 is “a very powerful vaccine in itself.”
",0
"
An optional microchip for COVID-19 vaccines “would give officials information on who has and has not been vaccinated” and “tracks the location of the patient.”
",0
"
“Pope Francis says covid vaccine will now be required to enter heaven.”
",0
"
“Wisconsin is one of the few states that doesn’t allow absentee ballots to be processed before Election Day.”
",1
"
The CDC delivers groceries and cleaning products “twice while you’re in quarantine.”
",0
"
“Biden did not win legally.”
",0
"
Says Jon Ossoff ""wants total, blanket amnesty and he wants a total lockdown.""
",0
"
The COVID-19 pandemic has caused four of the eight “deadliest days in American history.”
",0
"
“FDA announces 2 deaths of Pfizer vaccine trial participants from ‘serious adverse events.’”
",0
"
The number of people who have died in the U.S. in 2020 is on par with years prior to COVID-19.
",0
"
Says that this year is the first time during his 27 years as senator “that two African Americans have ever served on the same (Senate) committee.”
",0
"
""If all goes 'well' it'll become federal law to get the (COVID-19) vaccine.""
",0
"
“Biden confirms agenda to microchip the masses”
",0
"
Says David Perdue “hasn't held a single public town hall meeting in six years” and “sells four meetings a year and a retreat on a private island for a $7,500 corporate PAC check.”
",0
"
Photo shows “MAYHEM in Oregon!”
",0
"
“No candidate has ever won both Florida and Ohio and lost.”
",0
"
“Voting machines found in bus in Arizona.”
",0
"
""You know what the biggest lie is, is that restaurants are spreaders of COVID. There's no science for that.""
",0
"
Says Texas Rep. Terry Meza said changing the castle doctrine is meant to create a “peaceful” transfer of property from victims to thieves
",0
"
“40 years of research, and no vaccine for HIV. At least 100 years of research and no vaccine for cancer. Ongoing research and no vaccine for the common cold. Now in less than a year, there's a vaccine for COVID-19?”
",0
"
“In Wisconsin, there are approximately 70,000 absentee ballots that do not have matching ballot applications as required by law.”
",0
"
“Head of Pfizer research: Covid vaccine is female sterilization.”
",0
"
The probability of Biden winning in Wisconsin, Georgia, Michigan and Pennsylvania “given President Trump’s early lead ... is less than one in a quadrillion” in each state.
",0
"
Images that show a 90-year-old UK woman receiving the Pfizer COVID-19 vaccine appeared online in a CNN news story in October.
",0
"
The Supreme Court “has decided to take up the Texas case.”
",0
"
A forensics examination of a Ware County, Ga., Dominion Voting Systems machine found votes were switched from Donald Trump to Joe Biden.
",0
"
""The FDA knows that rushed-to-market COVID-19 vaccines may cause a wide range of life-threatening side effects, including death.""
",0
"
Says Kelly Loeffler “welcomed the support of a QAnon conspiracy theorist, and she sat down with a white supremacist for an interview.”
",0
"
""In Chesterfield (Va.), the Southside precinct is infamous for having over 100% of the vote count…”
",0
"
“Actually, I won Wisconsin.”
",0
"
People in Germany saw this electoral map that shows Trump beating Biden with 410 electoral votes before Dominion’s servers were seized.
",0
"
“The president got the highest percentage of minority votes of any Republican candidate for president in over 100 years.""
",0
"
The National Institutes of Health “states that regular marijuana use can reduce IQ by 8 points.”
",0
"
Says Joe Biden killed a Kelly Loeffler campaign staffer.
",0
"
""People have lost faith in the ability of the vaccine to work. Already, the numbers are really staggeringly low.""
",0
"
“The first randomized controlled trial of more than 6,000 individuals to assess the effectiveness of surgical face masks against SARS-CoV-2 infection found masks did not statistically significantly reduce the incidence of infection.""
",0
"
Says Kelly Loeffler was wearing a wire during the Georgia Senate debate.
",0
"
Photo shows Kelly Loeffler’s house.
",0
"
“No state in the country verifies United States citizenship as a condition for voting in federal elections.”
",0
"
“CDC admits old ‘science’ was wrong” on COVID-19 quarantine guidance.
",0
"
“Republican elected officials, a network of propaganda publications in the state and some radio shock jocks” were spreading “a lie” about his daughter breaking COVID-19 restrictions.
",1
"
Says George Patton said, “Politicians are the lowest form of life on earth. Liberal Democrats are the lower form of politicians.”
",0
"
In 10 Michigan precincts, voter turnout reached 100% and in 6 precincts it surpassed 100%
",0
"
Says Charles Schumer supports “putting everybody on the Medicare system. He wants the Green New Deal … reduce funding for the police.”
",0
"
China recovered from COVID-19 “without a vaccine.”
",0
"
The USPS backdated 100K ballots so they could be counted illegally.
",0
"
Video footage from Georgia shows suitcases filled with ballots pulled from under a table and illegally counted after election observers were told to leave.
",0
"
Residents the Wisconsin Election Commission suspected of moving are “illegal voters.”
",0
"
""Beware - George Soros is starting a Fake News site in Missouri”
",0
"
Says COVID-19 has killed more North Carolinians in a year than the flu has in 10 years.
",1
"
""In 2019, Republicans stripped $40 million from the budget for lead pipe replacement - because they thought it helped MKE too much.""
",0
"
“Gina Haspel, CIA head is dead!”
",0
"
“Masks will kill quite a few people, it’s well known that they reduce blood oxygen levels and those with respiratory and cardiac disorders will die.”
",0
"
Says “Hugo Chavez’s family still owns” Dominion Voting Systems.
",0
"

Says “Former President Barack Obama arrested for ESPIONAGE.”
",0
"
Says Joe Biden is wearing a foot boot to hide an ankle monitor.
",0
"
“People of color and those of not, they use marijuana at the same rate. People of color are three times more likely to get arrested and convicted.”
",1
"
A Dominion representative in Gwinnett County improperly downloaded election data to “manipulate the data.”
",0
"
The coronavirus pandemic is “effectively over” in the United Kingdom and “there is absolutely no need for vaccines.”
",0
"
“The states that are locked down are increasing at twice the rate we are” in Florida
",0
"
“Trump margin of ‘defeat’ in 4 states occurred in 4 data dumps between 1:34-6:31 AM. Statistical anomaly? Fraud?”
",0
"
“Supreme Court Shakes Up 2020 Election, Assigns Conservatives To Swing State Circuit Courts.”
",0
"
Says Joe Biden plagiarized Donald Trump in his Democratic National Convention speech.
",0
"
“Detroit actually has the lowest infection rate in the state of Michigan. We’re half of that of the surrounding suburbs.”
",0
"
“Americans are paying the highest price in the world for Remdesivir because the Trump administration is allowing Gilead Sciences to jack up the prices on this #COVID19 treatment.”
",0
"
Says Raphael Warnock defended the “hatred” of Jeremiah Wright, the pastor who said “not God bless America, God damn America,” and gave Wright “an award for truth telling.”
",0
"
“CNN is now saying that Trump will win!”
",0
"
Says her health care plan would ""ensure Americans with preexisting conditions are protected.""
",0
"
Says the Denver Broncos signed Colin Kaepernick.
",0
"
""THOUSANDS of fake votes found at Wisconsin Recount in Dane County.""
",0
"
Says that shutdowns are “ineffective” and that we now know that COVID-19 is not commonly spread “by someone going to work.”
",0
"
""Kyle Rittenhouse used his COVID-19 stimulus check to purchase the AR-15 he used in the fatal Kenosha shooting.""
",0
"
“We passed one of the first (COVID-19) bills in the entire country, empowering Gov. Evers to act.”
",0
"
Video shows movers carrying boxes out of the White House as President Trump discusses 2020 election results.
",0
"
Dominion and Smartmatic “have closed up shop” and executives are “on the run.”
",0
"
“Pennsylvania just banned alcohol sales.”
",0
"
Photo shows “Biden’s inaugural stage being built on the White House North Lawn.”
",0
"
Says Donald Trump’s sister tweeted, “My brother Don won this election and will fight this to the very end.”
",0
"
Democrats “spent 4 years refusing to acknowledge Trump’s 2016 victory.”
",0
"
North Carolina Gov. Roy Cooper’s “daughter is having a big wedding today. 500 people. Then going to lock you down on Monday.”
",0
"
“In certain swing states, there were more votes than people who voted, and in big numbers.”
",0
"
Says Jon Ossoff is “a socialist.”
",0
"
Says George Soros was arrested in Philadelphia for election interference.
",0
"
Photo shows Time magazine cover with Barack Obama that says “Treason.”
",0
"
“In Philadelphia and Pittsburgh...682,000 ballots were counted in secret, away from poll watchers who were entitled by law to have access to that count.”
",0
"
“Clerks in Milwaukee and Dane Counties colluded to (add) nearly 250,000 individuals to the ‘Indefinitely Confined’ voter list.”
",0
"
“At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate.""
",0
"
In Michigan “we have over-votes in numerous precincts of 150%, 200%, and 300%.”
",0
"
“666,000 teachers have been laid off already since March.""
",0
"
When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.”
",1
"
Says Donald Trump’s book “The Art of the Deal” advises: “Never admit defeat. You win. If you don’t win, claim they cheated.”
",0
"
Says “Biden wants a nationwide lockdown to combat a virus that has a 99%+ survival rate.”
",0
"
""A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM (in Wisconsin), when they learned he was losing badly. This is unbelievable!""
",0
"
Says there’s “up to 75% reduction in opioid dosage for medical cannabis users.”
",0
"
On the need for a smooth transition for the president-elect
",0
"
Says Kelly Loeffler is ""for getting rid of health care in the middle of a pandemic.""
",0
"
“David Perdue says he'll do everything in his power to make sure Joe Biden fails.”
",0
"
“AARP endorsed Biden” and “says if you are past 75 you should just die and go away.”
",0
"
“Smartmatic and Dominion systems ... were built to do this very thing, for changing the results of elections.”
",0
"
The law governing the transition of presidential power “doesn’t require there to be an absolute winner. It says the ‘apparent' winner.”
",0
"
A 1993 example of voter fraud in Philadelphia is “exactly what happened to us” in the 2020 election.
",0
"
""Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy.""
",0
"
“The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were massive improprieties and fraud.""
",0
"
""If you can’t get a test through Test Iowa, there are multiple other sites: your doctor, your clinics, your pharmacies, the stroke detection clinic centers.""
",0
"
Vaccines “will remove parts of your DNA and replace it with GENETIC CODING (TECHNOLOGY)” that will “cause people to HAVE to cooperate with the New World Order.”
",0
"
The 2020 election is in “recount territory” and “I’ve seen elections change as a result of” recounts.
",0
"
“The MOB in PA was HIRED by the Biden team to create fake ballots by the thousands!!”
",0
"
“Michigan just refused to certify the election results!”
",0
"
There is “aborted male fetus” in the Oxford-AstraZeneca “Covid 19 vaccine.”
",0
"
Says Georgia’s secretary of state won’t let the people recounting ballots check the signatures for fraud.
",0
"
Says “47 additional counties used the same software that caused a ‘glitch’ in Antrim County (that switched 6,000 votes from Trump to Biden in that county)” and votes in the state are “potentially fraudulent.”
",0
"
""Voter FRAUD exposed in Georgia. Over 2600 votes 'FOUND.'""
",0
"
Unemployment report shows “America is bouncing back.”
",0
"
“Biden campaign director arrested for electoral fraud.”
",0
"
“Every single swing-seat House Democrat who endorsed #MedicareForAll won re-election or is on track to win re-election. Every. Single. One.”
",0
"
The U.S. military seized servers in Germany tied to Dominion Election Systems.
",0
"
""We heard from the Department of Homeland Security ... that this was probably the most secure election that’s ever been run in the United States.”
",1
"
“These are real to date pictures taken during the Million (MAGA) March 2020.”
",0
"
“Milwaukee Elections Chief Lost Elections Flash Drive in Morning Hours of November 4th When Democrats Miraculously Found 120,000 Votes for Joe Biden.”
",0
"
A member of Joe Biden’s COVID-19 task force recommends “withholding food stamps and rent assistance from those who refuse coronavirus vaccines.”
",0
"
A screenshot shows Tucker Carlson announcing he’ll “be starting at NewsMax next month.”
",0
"
“More than one MILLION marchers for President @realDonaldTrump descend on” Washington, D.C., on Nov. 14.
",0
"
Says Sen. Kelly Loeffler said on Parler that “Black people shouldn’t be allowed to vote.”
",0
"
Says Raphael Warnock ""ran over his wife"" and was ""arrested for obstructing an investigation into child abuse.""
",0
"
“Facebook removed the title of ‘President’ from Donald Trump and designated him as ‘Political Candidate.’”
",0
"
“Ticketmaster is planning mandatory COVID vaccine identification for concert attendance.”
",0
"
Says early voting opens the country ""up for this chicanery and this fraud that we’re seeing.”
",0
"
Says Raphael Warnock “celebrated Fidel Castro and welcomed him to his church.”
",0
"
Says Donald Trump posed as an anonymous “Nevada poll worker” on Laura Ingraham’s show.
",0
"
Says there were “600,000 plus unlawful votes in Philly and Pitt.”
",0
"
Says Dominion Voting System flipped votes to Joe Biden in states where Trump is bringing legal challenges.
",0
"
""Across the state the rejection rate for ballots went way down” in the Nov. 3 election.
",0
"
“Pennsylvania and Michigan didn’t allow our poll watchers and/or vote observers to watch or observe.”
",0
"
Dominion Voting Systems “deleted 2.7 million Trump votes nationwide.”
",0
"
""The real electoral map"" shows Donald Trump leading Joe Biden in electoral votes.
",0
"
Video shows California election workers ""cheating"" by collecting ballots from drop box on Nov. 4.
",0
"
The media called the 2016 election for Hillary Clinton.
",0
"
“Biden lead disappears in NV, AZ, GA, PA.”
",0
"
Detroit election worker trainings “reveal the mechanisms of the planned theft of the election”
",0
"
Says conservative website Judicial Watch published a story about “elite” units of the National Guard recounting official ballots that were printed with “an invisible, unbreakable code watermark and registered on a Quantum Blockchain System.”
",0
"
A judge has ordered a ""HAND RECOUNT by an INDEPENDENT COMMISSION in the state of Michigan, following hard evidence of voting fraud by Detroit City Election Commission.""
",0
"
Map shows 2020 election results.
",0
"
Video shows trashed ballots for Donald Trump.
",0
"
Church bells rang in Paris and fireworks were set off in London to celebrate Joe Biden’s presidential win.
",0
"
As an example of voter fraud, “we have literally 9,000 people who voted in this election (in Nevada) who don’t live in Nevada.”
",0
"
Says “132,000 ballots in Fulton County, Ga., have been identified as likely ineligible,” and President Trump might win Georgia as a result.
",0
"
Says there are “indications of grossly improper conduct from election officials right here in my district.”
",0
"
Overnight, election workers “found” 140,000 mail in ballots in Wisconsin; 200,000 in Michigan and 1 million in Pennsylvania. “All for Biden. None for Trump.”
",0
"
A CNN video shows “HAMMER / Scorecard Voter Software Fraud in Real Time”
",0
"
More people in Kenosha County died from COVID-19 on Oct. 27 than in all of Germany
",0
"
“System 'Glitch' ... In Wisconsin - Reversal of Swapped Votes Removes Lead from Joe Biden.”
",0
"
If Donald Trump “didn’t win Michigan why does the actual government site say he did?”
",0
"
“Joe Biden is no longer the President-elect according to RealClearPolitics.”
",0
"
Siri gave “CONFIRMATION of the Democrats' sinister plan to REMOVE Sleepy Joe immediately using the 25th Amendment and instate Kamala Harris as President!”
",0
"
“Election worker brags about destroying Trump ballots; rips up a ballot for DJT on video.”
",0
"
“CNN says Dick Cheney will be advising Biden on foreign policy.”
",0
"
Says Nancy Pelosi has “suspicious ties” to a voting software company that was involved in glitches that favored Joe Biden.
",0
"
“Mitt Romney has been asked to lead Health and Human Services in Biden administration.”
",0
"
Says The Washington Times ran a front-page headline that said, “President Gore.”
",0
"
Says a New York Post cover used the headline “YOU'RE FIRED"" on Nov. 4 with an image of Donald Trump.
",0
"
Officials in Fairfax, Va., gave 100,000 Trump votes to Biden.
",0
"
“The NAACP has received credible information that some of the white nationalist groups … will be looking to snatch black men and boys and hang them, shoot them, torture them and kill them.”
",0
"
An election worker in Georgia threw away a ballot.
",0
"
A list shows over 14,000 dead people voted in Wayne County, Michigan.
",0
"
Republicans in Nevada found “at least 3,062 instances of voter fraud. ... Thousands of individuals have been identified who appear to have violated the law by casting ballots after they moved from NV.""
",0
"
Philadelphia is “clouding the vote counting in a shroud of darkness.”
",0
"
Says the logo of a porn website appeared during a CNN broadcast.
",0
"
“If you count the legal votes, I easily win. If you count the illegal votes, they can try to steal the election from us.”
",0
"
In Iowa, ""they have allowed a little over 300 people to re-vote.""
",0
"
 “Active crime scene in Spalding County, Ga., where ballots for President Donald Trump were discovered in a dumpster.”
",0
"
More poll workers caught filling out ballots in Delaware County Pennsylvania.
",0
"
Republican election challengers were unfairly barred from observing absentee ballot processing and counting in Detroit.
",0
"
Says “the city of Austin is a disaster if you haven’t been there. A great city, now one of the most dangerous cities in America and definitely in Texas.”
",0
"
The Trump administration put secret watermarks on official ballots to trick cheating Democrats.
",0
"
“Arizona trooper found 50,000 ballots in dumpster all for President Trump!!”
",0
"
Video showing collection of California ballots on Nov. 4 shows “cheating.”
",0
"
Video shows a poll worker committing voter fraud in Delaware County, Pa.
",0
"
“West Virginia is near last in the U.S.” rankings of education, clean drinking water, and child mortality.
",0
"
“40,000+ votes for Libertarian candidate Jo Jorgensen magically become votes for Joe Biden.”
",0
"
“118-year-old William Bradley voted via an absentee ballot in Wayne County, Michigan this year. William died in 1984. They’re trying to steal this election.”
",0
"
Wagon arriving at Detroit counting center after deadline “may have been a ballot box.”
",0
"
“USPS failed to deliver 27% of mail-in ballots in South Florida”
",0
"
Says North Carolina’s ""Democratic Secretary of State"" controls the state's elections.
",0
"
""Seven Milwaukee wards report more 2020 presidential votes than registered voters.”
",0
"
Thousands of military ballots were found in the trash in Wisconsin.
",0
"
More mail-in ballots were counted in Lancaster County, Pa., than were returned.
",0
"
Say a video shows “staffers stuffing ballots in flint mi”
",0
"
“If you were forced to use a Sharpie” to fill out your ballot, “that is voter fraud.”
",0
"
Detroit has “2,503 dead people registered” including “one voter born in 1823.”
",0
"
Joe Biden was called for Michigan even though Donald Trump won more votes.
",0
"
“Any votes counted after midnight” on Election Day in Michigan “are fraud.”
",0
"
Wisconsin voter turnout jumped from 67% in 2016 to 89% in 2020.
",0
"
“Wisconsin took a break, and when they returned, Biden coincidentally came back ahead by 100k.”
",0
"
“When large numbers of people in Butler (Pa.) started killing themselves with narcotics, no one in Washington or New York or Los Angeles said a word about it.”
",0
"
Asks, “How is this possible?” with a chart showing that 104.41% of registered voters in North Carolina and 103.56% of registered voters in Wisconsin cast votes.
",0
"
A person is on film “burning 80 Trump ballots.”
",0
"
“Last night I was leading, often solidly, in many key States, in almost all instances Democrat run & controlled. Then, one by one, they started to magically disappear as surprise ballot dumps were counted.”
",0
"
""Six states can't get the votes counted. Six states in which @realDonaldTrump is leading. Six states where Dems are in charge.""
",0
"
“40,000 rejected vote by mail ballots in DeKalb County need to be cured by Friday or they will be tossed.”
",0
"
“Now that it’s even, Nevada decides to stop counting and is now not going to count anything until TOMORROW! What?!”
",0
"
Early morning election results from Michigan and Wisconsin show voter fraud.
",0
"
“Wisconsin found 112k votes at 3am.”
",0
"
“This is the California model spreading across the country. When you need to flip things blue there’s always some mysterious mail-in ballots lying around that’ll do the trick. Shameful!”
",0
"
Says Joe Biden received a sudden influx of 138,339 votes in Michigan while Donald Trump received none.
",0
"
Six states ""decided to stop counting"" votes as Donald Trump was ""headed for a win” on election night.
",0
"
Photo shows massive wall in front of White House on Election Day.
",0
"
Says Michigan Gov. Gretchen Whitmer said, “I will not certify the vote in my state for Donald Trump, no matter the outcome.”
",0
"
“Wisconsin has more votes than people who are registered to vote. … This is direct evidence of fraud.”
",0
"
Voters in Maricopa County, Ariz., were forced to vote using Sharpie pens that aren’t read by voting machines.
",0
"
“NOT A JOKE: Ilhan Omar Tells Residents ‘You Don’t Have to be Registered to Vote’ in Minnesota.”
",0
"
“Trump has won the election with 294 electoral votes.”
",0
"
An image shows “what appears to be an official ballot box being taken away from a polling location by an unidentified civilian.”
",0
"
“We already have won” the election.
",0
"
“Only sign outside Bucks County voting place. Democrats shown, republicans blurred out. … More scamming in Pennsylvania!”
",0
"
“If Biden wins the election, there are people out there planning on mass murdering poc and lbgtq+ people. Please stay inside during the election and a few days after.”
",0
"
""Deep RED cities are not boarding up"" and the National Guard is ""not being called in, in case Biden wins.""
",0
"
Poll watchers in Philadelphia prevented from entering polling places.
",0
"
A poll worker in Erie County, Pa., threw out over 100 ballots for Donald Trump.
",0
"
Stacks of bricks are showing up in Denver because “the Evil Left is getting ready to destroy downtown.”
",0
"
“Trump supporters are blocking access to polling sites at Clifton City Hall, New Jersey.”
",0
"
Bricks are being “randomly placed all over Detroit.”
",0
"
“Biden says he doesn’t need voters to get elected.”
",0
"
“Kohl's confirmed that they will be selling BLM merchandise” but are not selling “back the blue” at this time.
",0
"
“Antifa gearing up for false flag violence disguised as Trump-supporters.”
",0
"
Broken voting machines in Russellville, Ark., tried to automatically tally votes meant for Donald Trump as votes for Joe Biden.
",0
"
Pennsylvania officials are “attempting to silence voters” by sending them letters that say they’ve been exposed to COVID-19 and “must remain quarantined and not vote in person on Election Day.”
",0
"
In Massachusetts, ""anybody can go vote for anybody so long as they have their information. … They're not even checking IDs at the polling stations.""
",0
"
“People are less likely to just vote for party now. … They’re looking at the personalities.”
",0
"
Says President Trump’s Oct. 31 rally in Butler, Pa., drew over 57,000 people.
",0
"
Says Nancy Pelosi’s son served on the Burisma board with Hunter Biden.
",0
"
“Kamala’s husband, a lawyer, represents the Communist Chinese Party in America!! Think about that!!”
",0
"
“Dems have removed any mention of ‘God’ from their Platform.”
",0
"
Photo shows Joe Biden “doesn’t wear a mask on a plane.”
",0
"
Says his supporters were “protecting” Joe Biden’s campaign bus in Texas.
",0
"
“Joe Biden and Kamala Harris’ government-run health care plan… could lead to hospitals being closed, put Medicare coverage at risk, and give benefits to illegal immigrants.”
",0
"
“We will be over 290 electoral votes on Election Night ... no matter what they (Democrats) try to do, what kind of hijinks or lawsuits or whatever kind of nonsense they try to pull off.”
",0
"
Say Joe Biden told a crowd in Florida, ""Hello Minnesota!""
",0
"
A lawsuit against the Affordable Care Act backed by West Virginia Attorney General Patrick Morrisey “would eliminate health care for over 800,000 West Virginians.”
",0
"
“Joe Biden called Black youth super predators.”
",0
"
Queens voters received pre-marked ballots for Joe Biden.
",0
"
Says Illinois has made a ""nation-leading"" investment in funding for Census outreach.
",0
"
“Our doctors get more money if somebody dies from COVID. … So what they do is they say, ‘I'm sorry, but, you know, everybody dies of COVID.’""
",0
"
James Biden “built the cages” and “(the Bidens) made millions from it.”
",0
"
“The Green New Deal would require that 99% of homes in the country be torn down and rebuilt more ‘energy efficient’ over a ten year period.”
",0
"
""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”
",1
"
Photo shows a “clearly intoxicated” Kamala Harris “throwing up in the bushes & staggering aimlessly at the Cleveland airport.”
",0
"
Says the toddler shown in a photo clinging to a police officer was found wandering, alone and barefoot, looking for his mother amid protests in Philadelphia.
",0
"
“‘America is dead’ — Joe Biden actually said this at his Iowa rally.”
",0
"
Says Sean Connery wrote a letter to Steve Jobs refusing to be an Apple spokesman.
",0
"
“COVID ends next Wednesday.”
",0
"
Farm bankruptcies are ""at an eight-year high.""
",1
"
“How many of you still don't know that Michelle Obama was born Michael Lavaughn Robinson and is a man?”
",0
"
“There are people trying to make legal age of consent 4 years old.”
",0
"
Says Joni Ernst ""supports the lawsuit that's headed to the Supreme Court that will” repeal the Affordable Care Act.
",0
"
When Sen. Kelly Loeffler heard about the COVID-19 risk, she “focused on her own portfolio” and ""profited from the pandemic.""
",0
"
Says Ann Wagner’s campaign ""has taken millions of dollars from special interests, more than almost anyone else in Congress.”
",0
"
""Mike Parson opposes protections for pre-existing conditions.”
",0
"
“Miami-Dade reporting 23% of early ballots being rejected for missing signatures.”
",0
"
The number of coronavirus deaths is “almost nothing.”
",0
"
""I am for protecting pre-existing conditions. … I actually co-sponsored legislation to do just that.""
",0
"
“Nobody's ever seen a number like this… (33.1%) economic growth is four times greater than what the experts expected.”
",0
"
Says President Donald Trump ""thinks that $15 an hour minimum wage is too much for essential workers.""
",0
"
“On 60 Minutes, Joe said he never met with Hunter and the Burisma CEO. Well, here he is with both.”
",0
"
Says YouTube removed Tucker Carlson’s interview with Tony Bobulinski.
",0
"
Says Jeff Foxworthy wrote a ‘fence test’ for Republicans and Democrats.
",0
